EL GAUCHO POBRE,5264,8417,62
YAMINUE,5123,8534,62
EL CACIQUE,5262,8417,62
EL CAIN,5082,8422,62
EL CAMARURO,5263,8417,62
EL CHEIFUL,5083,8418,62
EL CONDOR ESTANCIA,5210,8400,62
EL CUY,5327,8333,62
EL DIQUE,5138,8500,62
EL FOYEL,5211,8401,62
EL JARDINERO,5265,8417,62
EL MANSO,5212,8430,62
EL MANZANO,5328,8328,62
EL MOLIGUE,5085,8418,62
EL PANTANOSO,5381,8412,62
EL PORVENIR,5236,8503,62
EL SALADO,5481,8536,62
EMPALME KILOMETRO 648,5087,8418,62
ESTANCIA LAS JULIAS,5172,8363,62
EL BOLSON,5209,8430,62
FALCKNER,5121,8534,62
DINA HUAPI,5435,8402,62
CURA LAUQUEN,5261,8417,62
CONA NIYEU,5118,8521,62
CONTRALMIRANTE CORDERO,5320,8301,62
CONTRALMIRANTE M GUERRICO,5321,8328,62
COQUELEN,5432,8416,62
CORONEL EUGENIO DEL BUSTO,5397,8138,62
CORONEL FRANCISCO SOSA,5235,8503,62
CORONEL JUAN JOSE GOMEZ,5322,8333,62
CORONEL VIDAL,5323,8305,62
CORRAL DE LOS PINOS,5380,8412,62
CORRALITO,5433,8403,62
COS ZAURES,5324,8307,62
COSTA DEL RIO AZUL,5207,8430,62
COSTAS DEL PICHI LEUFU,5434,8412,62
CUATRO ESQUINAS,5325,8324,62
CUBANEA,27738,8501,62
CUENCA VIDAL,5326,8301,62
CUESTA DEL TERNERO,18622,9210,62
DARWIN,5169,8364,62
COMI CO,5117,8424,62
FERRI,5329,8301,62
FITALANCAO,5382,8415,62
JUAN DE GARAY,5401,8138,62
KILI MALAL,5268,8417,62
KILOMETRO 1218,5340,8305,62
KRAUSE INGENIERO OTTO,27933,8336,62
LA ADELA,5403,8138,62
LA ALIANZA,5341,8324,62
LA ANGOSTURA,5269,8417,62
LA BOMBILLA,5465,8520,62
LA CAROLINA,5239,8503,62
LA CHILENA,5270,8417,62
LA CRIOLLITA,5271,8417,62
LA ELVIRA,5177,8360,62
LA EMILIA,5344,8324,62
LA ESMERALDA,5345,8324,62
LA ESPERANZA,5092,8534,62
LA ESTANCIA VIEJA,5346,8324,62
LA ESTRELLA,5272,8417,62
JITA RUSIA,5267,8417,62
FITA RUIN,5088,8418,62
JAG\\u00dcEL CAMPO MONTE,5176,8520,62
ISLA CHICA,5174,8363,62
FITAMICHE,5383,8415,62
FITATIMEN,5384,8415,62
FORTIN UNO,5173,8360,62
GANZU LAUQUEN,5122,8424,62
GENERAL CONESA,5237,8503,62
GENERAL ENRIQUE GODOY,5331,8336,62
GENERAL FERNANDEZ ORO,5332,8324,62
GENERAL LIBORIO BERNAL,5139,8500,62
GENERAL ROCA,5333,8332,62
GUARDIA MITRE,5142,8505,62
HUA MICHE,5266,8417,62
HUAN LUAN,5089,8418,62
INGENIERO HUERGO,5334,8334,62
INGENIERO JACOBACCI,5090,8418,62
INGENIERO ZIMMERMANN RESTA,5091,8416,62
INGENIO SAN LORENZO,5238,8503,62
IRIS,5337,8324,62
ISLA GRANDE,5175,8361,62
LA EXCURRA,5273,8417,62
COMALLO ABAJO,5431,8416,62
COLONIA SAN JUAN,5234,8503,62
ATRAICO,5068,8418,62
BAHIA CREEK,27864,8501,62
BAJO DEL GUALICHO,5461,8520,62
BAJO RICO,5160,8360,62
BALNEARIO EL CONDOR,5133,8501,62
BALNEARIO LAS GRUTAS,5462,8521,62
BARDA COLORADA,5255,8333,62
BARDA DEL MEDIO,5303,8305,62
BARRIL NIYEO,5069,8422,62
BARRIO LAGUNA,18495,8520,62
BARRIO NORTE,5304,8328,62
BELISLE CORONEL,5168,8364,62
BENJAMIN ZORRILLA,5161,8360,62
BOCA DE LA TRAVESIA,5228,8505,62
CALTRAUNA,5073,8424,62
CAMPANA MAHUIDA,5478,8532,62
CAÑADON CAMALLO,5424,8416,62
ARROYO VERDE,5460,8521,62
CAÑADON CHILENO,5425,8417,62
ARROYO TEMBRAO,5476,8521,62
ARROYO LOS BERROS,5475,8521,62
YUQUINCHE,5116,8418,62
6 DE OCTUBRE,5203,8134,62
AGUADA CECILIO,5473,8534,62
AGUADA DE GUERRA,5062,8424,62
AGUADA DE LOS PAJARITOS,5299,8301,62
AGUADA DE PIEDRA,5063,8422,62
AGUADA DEL LORO,5132,8520,62
AGUADA GUZMAN,5252,8333,62
AGUARA,5300,8307,62
ALANITOS,5253,8333,62
ALLEN,5301,8328,62
ANECON CHICO,5065,8418,62
ANECON GRANDE,5066,8416,62
ARROYO BLANCO,5422,8403,62
ARROYO CHACAY,5423,8401,62
ARROYO DE LA VENTANA,5474,8521,62
ARROYO LAS MINAS,5370,8415,62
ARROYO SALADO,5459,8532,62
COMALLO,5430,8416,62
CAÑADON DEL CORRAL,5426,8412,62
CARHUE,5427,8412,62
CHIPAUQUIL,5480,8536,62
CHOCORI,5231,8503,62
CHOELE CHOEL,5166,8360,62
CHURQUIÑEO,5379,8412,62
CINCO CHAÑARES,5463,8520,62
CINCO SALTOS,5312,8303,62
CLEMENTE ONELLI,5079,8416,62
COLAN CONHUE,27830,8418,62
COLI TORO,5080,8418,62
COLONIA ALTE GUERRICO,5315,8307,62
COLONIA EL MANZANO,5316,8305,62
COLONIA GENERAL FRIAS,5232,8501,62
COLONIA JOSEFA,5167,8363,62
COLONIA JULIA Y ECHARREN,16430,8138,62
COLONIA LA LUISA,5233,8503,62
COLONIA REGINA,5318,8336,62
COLONIA RUSA,5319,8332,62
CHINA MUERTA,5136,8504,62
CANLLEQUIN,5256,8417,62
CHIMPAY,5165,8364,62
CHICHIHUAO,5078,8422,62
CARRI YEGUA,5257,8417,62
CARRILAUQUEN,5075,8418,62
CASA QUEMADA,5428,8412,62
CASCADA LOS CANTAROS,5214,8411,62
CATRIEL,5309,8307,62
CERRO ABANICO,5076,8424,62
CERRO ALTO,5429,8403,62
CERRO MESA,5373,8415,62
CERRO POLICIA,5258,8333,62
CERVANTES,5310,8326,62
CHACALHUA RUCA,5374,8415,62
CHACAY HUARRUCA,5375,8415,62
CHACRAS DE ALLEN,18826,8328,62
CHAIFUL,5077,8418,62
CHASICO,5259,8417,62
CHELFORO,5164,8366,62
CHENQUENIYEU,5377,8412,62
CHICHINALES,5311,8326,62
LA FLECHA,5240,8503,62
CIPOLLETTI,5313,8324,62
LA JULIA,5180,8363,62
PUESTO FARIA,5194,8360,62
PUESTO GAVIÑA,5244,8503,62
PUNTA DE AGUA,5488,8536,62
QUEMPU NIYEU,5292,8332,62
QUENTREQUILE,5110,8418,62
QUINTA PANAL,5454,8416,62
RAYHUAO,5455,8412,62
REPOLLOS,5391,8415,62
RINCON DE GASTRE,5245,8503,62
RINCONADA,5195,8360,62
RIO CHICO,5392,8415,62
RIO COLORADO,5416,8138,62
RIO SALADO,18576,8134,62
RIO VILLEGAS,5224,8401,62
RUCU LUAN,5113,8422,62
SACO VIEJO,5470,8514,62
SALITRAL NEGRO,5196,8363,62
PUERTO TIGRE ISLA VICTORIA,5223,8400,62
SAN ANTONIO OESTE,5471,8520,62
PUERTO SAN ANTONIO ESTE,5469,8521,62
PUERTO BLEST,5219,8411,62
PICHI LEUFU,5448,8412,62
PICHI LEUFU ABAJO,5449,8412,62
PICHI LEUFU ARRIBA,5450,8412,62
PICHI MAHUIDA,5415,8138,62
PILAHUE,5290,8417,62
PILCANIYEU,5451,8412,62
PILQUINIYEU,5453,8416,62
PILQUINIYEU DEL LIMAY,5452,8412,62
PLANICIE DE JAGUELITO,5291,8333,62
PLAYA BONITA,5151,8400,62
PLAYAS DORADAS,27907,8532,62
POMONA,5193,8363,62
PORTEZUELO,5389,8415,62
POZO MORO,19261,8520,62
POZO SALADO,5468,8514,62
PRAHUANIYEU,5108,8424,62
PRIMERA ANGOSTURA,5152,8505,62
PUERTO OJO DE AGUA,5220,8409,62
PERITO MORENO ESTACION FCGR,5447,8400,62
SAN CARLOS DE BARILOCHE,16388,8400,62
SAN JORGE,5362,8324,62
TRES OJOS DE AGUAS,5457,8416,62
TRICACO,5296,8332,62
TROMENIYEU,5114,8422,62
TTE GRAL EUSTAQUIO FRIAS,5251,8501,62
TUNQUELEN,18657,8409,62
VACA LAUQUEN,5115,8422,62
VALCHETA,5493,8536,62
VALLE AZUL,5297,8336,62
VALLE DE LOS ALAMOS,5365,8307,62
VIEDMA,5158,8500,62
VILLA ALBERDI,5366,8336,62
VILLA LLANQUIN,5458,8401,62
VILLA MANZANO,5494,8308,62
VILLA MASCARDI,5226,8401,62
VILLA REGINA,5367,8336,62
LA GRANJA,18675,8501,62
VILLA TURISMO,5227,8430,62
TRENETA,5131,8534,62
SAN JAVIER,5155,8501,62
TRAVESIA CASTRO,5250,8503,62
TENIENTE MAZA ESTACION FCGR,5492,8534,62
SAN JUAN,5246,8503,62
SAN LEON,5419,8138,62
SAN PEDRO,5456,8412,62
SAN RAMON,5225,8416,62
SAN SIMON,5248,8503,62
SANTA ELENA,5294,8417,62
SANTA GENOVEVA,5198,8363,62
SANTA GREGORIA,5199,8364,62
SANTA NICOLASA,5201,8364,62
SARGENTO VIDAL,5363,8305,62
SAUCE BLANCO,5202,8360,62
SAUCE BLANCO,5156,8505,62
SEGUNDA ANGOSTURA,5249,8501,62
SIERRA COLORADA,5128,8534,62
SIERRA DE LA VENTANA,5490,8521,62
SIERRA GRANDE,5472,8532,62
SIERRA PAILEMAN,5491,8521,62
TERCERA ZONA,5364,8336,62
PERITO MORENO,5446,8416,62
SAN LORENZO,5247,8503,62
PEÑAS BLANCAS,5358,8307,62
LANQUIÑEO,5278,8417,62
LAS BAYAS,5386,8412,62
LAS MAQUINAS,19254,8520,62
LAS MELLIZAS,5279,8417,62
LAS PERLAS,27858,8324,62
LAS PIEDRAS,18573,8134,62
LENZANIYEN,5096,8424,62
LOMA BLANCA,5097,8424,62
LONCO VACA,5280,8417,62
LOS COSTEROS,5281,8417,62
LOS JUNCOS,5099,8422,62
LOS MANANTIALES,5100,8422,62
LOS MENUCOS,5101,8424,62
LOS MOLINOS,5185,8360,62
LOS PIRINEOS,5282,8417,62
LOS QUEBRACHOS,5283,8417,62
LOS REPOLLOS,5216,8430,62
LAMARQUE,5184,8363,62
LAGUNITA,5095,8424,62
LAGUNA FRIAS,5213,8411,62
LAGUNA DEL MONTE,5466,8514,62
LA LOBERIA,5144,8501,62
LA LUCINDA,5348,8324,62
PERCY H SCOTT,5467,8520,62
LA MARIA INES,5410,8138,62
LA MESETA,5145,8500,62
LA MIMOSA,5274,8417,62
LA PORTEÑA,5275,8417,62
LA PRIMAVERA,5146,8520,62
LOS SAUCES,5352,8307,62
LA QUEBRADA,5436,8412,62
LA RUBIA,5276,8417,62
LA SARA,5181,8360,62
LA VENCEDORA,5277,8417,62
LAGO PELLEGRINI,5350,8305,62
LAGUNA BLANCA,27737,8417,62
LAGUNA CORTES,5241,8520,62
LAGUNA DE LA PRUEBA,5183,8520,62
LAGUNA DEL BARRO,5147,8514,62
LA RINCONADA,5093,8424,62
LUIS BELTRAN,5186,8361,62
LAGUNA LOS JUNCOS,5215,8400,62
MAINQUE,5354,8326,62
ÑIRIHUAO ESTACION FCGR,5439,8400,62
ÑORQUINCO,5388,8415,62
NUEVA CAROLINA,5243,8503,62
NUEVO LEON,5150,8514,62
OJOS DE AGUA EMBARCADERO FCGB,5107,8418,62
PAJA ALTA,5486,8536,62
PALENQUE NIYEU,5288,8417,62
PANQUEHUAO,5440,8412,62
PASO CHACABUCO,5441,8401,62
PASO CORDOVA,5357,8333,62
PASO DE LOS MOLLES,5442,8412,62
PASO DEL LIMAY,5443,8403,62
PASO FLORES,5444,8403,62
LUIS M ZAGAGLIA,5242,8503,62
PASO LEZCANO,5190,8361,62
PASO PIEDRA,5192,8360,62
PASO MIRANDA,5445,8403,62
NILUAN,5105,8422,62
NENEO RUCA,5438,8416,62
PADRE ALEJANDRO STEFENELLI,5356,8332,62
MEDANOS NEGROS,18589,8134,62
MANCULLIQUE,5102,8422,62
MAQUINCHAO,5103,8422,62
MARIA CRISTINA,5187,8360,62
MATA NEGRA,5148,8500,62
MANCHA BLANCA,19258,8520,62
MENCUE,5284,8417,62
NEGRO MUERTO,5189,8360,62
MAMUEL CHOIQUE,5387,8415,62
MENUCO VACA MUERTA,5437,8412,62
MICHI HONOCA,18797,8333,62
MICHIHUAO,5285,8417,62
MINISTRO RAMOS MEXIA,5126,8534,62
MULANILLO,5286,8417,62
MUSTERS,5484,8536,62
NAHUEL NIYEU,5485,8536,62
NAUPA HUEN,5287,8313,62
MALLIN AHOGADO,5217,8430,62
